,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
10,915,nyx,Ombre Blush,10.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw87fb4a6b/ProductImages/2016/Face/Ombre_Blush/ombreblush_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/ombre-blush/NYX_318.html?cgid=blush,https://www.nyxcosmetics.com,"Treat your cheeks to a radiant flush of color with our Ombré Blush, a new gradient blush inspired by the ombré trend. This must-have formula features two silky colors blended into one perfectly coordinated shade combo. (It’s like they were meant for each other.)",,,blush,[],2017-12-24T02:28:28.955Z,2017-12-24T02:30:22.315Z,http://makeup-api.herokuapp.com/api/v1/products/915.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/915/original/open-uri20171224-4-uv4oww?1514082622,"[{'hex_value': '#FA7586', 'colour_name': 'Sweet Spring'}, {'hex_value': '#F15B67', 'colour_name': 'Insta Flame'}, {'hex_value': '#EC6BBD', 'colour_name': 'Code breaker'}, {'hex_value': '#C5867F', 'colour_name': 'Mauve Me'}, {'hex_value': '#F26746', 'colour_name': 'Feel The Heat'}, {'hex_value': '#F56958', 'colour_name': 'Soft Flush'}, {'hex_value': '#E18866', 'colour_name': 'Strictly Chic'}, {'hex_value': '#C0764F', 'colour_name': 'Nude To Me'}]"
11,914,nyx,Stick Blush,6.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwb08ab0fe/ProductImages/Face/Stick_Blush/stickblush_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/stick-blush/NYX_064.html?cgid=blush,https://www.nyxcosmetics.com,Add a touch of color with our creamy and extremely pigmented Stick Blush! Available in eight rich shades! Apply and receive the perfect glow every day!,,,blush,[],2017-12-24T02:28:27.562Z,2017-12-24T02:30:20.870Z,http://makeup-api.herokuapp.com/api/v1/products/914.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/914/original/open-uri20171224-4-15kclri?1514082620,"[{'hex_value': '#CF0E61', 'colour_name': 'Magnolia'}, {'hex_value': '#DE056E', 'colour_name': 'Pink Lotus'}, {'hex_value': '#DA1D71', 'colour_name': 'Tulip'}, {'hex_value': '#D81758', 'colour_name': 'Pink Poppy'}, {'hex_value': '#8B161E', 'colour_name': 'Tea Rose'}, {'hex_value': '#B70543', 'colour_name': 'Orchid'}, {'hex_value': '#7A1E13', 'colour_name': 'Hibiscus'}, {'hex_value': '#7C2617', 'colour_name': 'Water Lily'}]"
12,881,nyx,Whipped Lip & Cheek Soufflé,6.0,$,USD,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwcffa1f2c/ProductImages/Lips/Whipped_Lip_And_Cheek_Souffle/whippedlipandcheeksouffle_main.jpg?sw=390&sh=390&sm=fit,https://www.nyxcosmetics.com/whipped-lip-and-cheek-souffle/NYX_233.html?cgid=blush,https://www.nyxcosmetics.com,"Indulge your cravings with our Whipped Lip & Cheek Soufflé. Our two-in-one mousse can be used to precisely line lips and on the apples of your cheeks for a soft, natural flush. Achieve a delicious wash of color with a matte finish using this creamy and multipurpose formula.",,,blush,[],2017-12-24T02:27:11.306Z,2017-12-24T02:30:36.924Z,http://makeup-api.herokuapp.com/api/v1/products/881.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/881/original/open-uri20171224-4-xaiokt?1514082636,"[{'hex_value': '#FF8D97', 'colour_name': 'Pink Cloud'}, {'hex_value': '#FE979B', 'colour_name': 'Plush'}, {'hex_value': '#FD4899', 'colour_name': 'Pink Lace'}, {'hex_value': '#B8135F', 'colour_name': 'Dark Cloud'}, {'hex_value': '#E56270', 'colour_name': 'Berry Tea'}, {'hex_value': '#EC131E', 'colour_name': 'Molten Love'}, {'hex_value': '#FF9474', 'colour_name': 'Coral-Sicle'}, {'hex_value': '#E18F77', 'colour_name': 'Cocoa Bean'}]"
13,778,clinique,Sculptionary&trade; Cheek Contouring Palette,34.0,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZAMN_181x209.png,https://www.clinique.com/product/1593/34892/makeup/blushers/sculptionary-cheek-contouring-palette,https://www.clinique.com,"Versatile cheek sculpting compact with natural-looking shades that blend and build beautifully. Use each separately to colour, contour, highlight. Or swirl them together for a quick easy glow. Use mid-toned shade as a blush, deep-toned shade to contour, lightest shade to highlight. For a quick, easy glow swirl brush over entire palette and dust over apples of cheeks. Long-wearing, oil-free. ",,,blush,[],2017-12-23T17:09:13.451Z,2017-12-23T23:43:26.248Z,http://makeup-api.herokuapp.com/api/v1/products/778.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/778/original/data?1514072606,"[{'hex_value': '#f5cdc4,#f4b6a6,#ef8c85', 'colour_name': 'Defining Nectars'}, {'hex_value': '#fbd5db,#c57c82,#925058', 'colour_name': 'Defining Berries'}, {'hex_value': '#f5cdd0,#f58589,#9a5f62', 'colour_name': 'Defining Roses'}, {'hex_value': '#facebe,#e3a99f,#bf6f5c', 'colour_name': 'Defining Nudes'}, {'hex_value': '#e5e1cd,#d6b7c3,#a8b2d5', 'colour_name': 'Defining Sugars'}, {'hex_value': '#fce5e7,#deb5bd,#d36686', 'colour_name': 'Defining Pinks'}]"
14,777,clinique,Blushing Blush&trade; Powder Blush,23.0,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_6FLK_181x209.png,https://www.clinique.com/product/1593/5265/makeup/blushers/blushing-blush-powder-blush,https://www.clinique.com,"Silky formula sweeps effortlessly over cheekbones to create a natural look. Fresh, jet-milled colour builds and blends beautifully to desired intensity with custom sculpting brush. Long-wearing, colour-true. Oil-free.",,,blush,[],2017-12-23T17:09:12.709Z,2017-12-23T23:43:25.653Z,http://makeup-api.herokuapp.com/api/v1/products/777.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/777/original/open-uri20171223-4-v4q2w6?1514072605,"[{'hex_value': '#f18f94', 'colour_name': 'Cupid'}, {'hex_value': '#c0705d', 'colour_name': 'Aglow'}, {'hex_value': '#e98c86', 'colour_name': 'Sunset Glow'}, {'hex_value': '#da8b92', 'colour_name': 'Smoldering Plum'}, {'hex_value': '#f397a4', 'colour_name': 'Iced Lotus'}, {'hex_value': '#f59494', 'colour_name': 'Precious Posy'}, {'hex_value': '#d78281', 'colour_name': 'Berry Delight'}, {'hex_value': '#b05762', 'colour_name': 'Spiced Wine'}]"
15,776,clinique,Cheek Pop&trade;,23.0,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_7THL_181x209.png,https://www.clinique.com/product/1593/29770/makeup/blushers/cheek-pop,https://www.clinique.com,"Vibrant yet natural-looking cheek colour that looks virtually powderless. In a silky smooth, stay-true formula with shades for every skin tone. That just-pinched look, simply effortless.",,,blush,[],2017-12-23T17:09:11.983Z,2017-12-23T23:43:25.003Z,http://makeup-api.herokuapp.com/api/v1/products/776.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/776/original/open-uri20171223-4-122ljen?1514072604,"[{'hex_value': '#cf5d5d', 'colour_name': 'Peach Pop'}, {'hex_value': '#aa514a', 'colour_name': 'Black Honey Pop '}, {'hex_value': '#e79da4', 'colour_name': 'Pink Honey'}, {'hex_value': '#cd698d', 'colour_name': 'Plum Pop'}, {'hex_value': '#db8669', 'colour_name': 'Nude Pop'}, {'hex_value': '#de7a7b', 'colour_name': 'Pink Pop'}, {'hex_value': '#c75c69', 'colour_name': 'Rosy Pop'}, {'hex_value': '#ab6266', 'colour_name': 'Heather Pop'}, {'hex_value': '#f29686', 'colour_name': 'Melon Pop'}, {'hex_value': '#b55241', 'colour_name': 'Fig Pop'}, {'hex_value': '#b54d70', 'colour_name': 'Berry Pop'}, {'hex_value': '#a06b89', 'colour_name': 'Pansy Pop'}, {'hex_value': '#ad5753', 'colour_name': 'Ginger Pop'}, {'hex_value': '#641009', 'colour_name': 'Cola Pop'}]"
16,775,clinique,Clinique + Jonathan Adler: Cheek Pop,18.9,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_K22102_181x209.png,https://www.clinique.com/product/1593/50730/makeup/blushers/clinique-jonathan-adler-cheek-pop,https://www.clinique.com,,,,blush,[],2017-12-23T17:09:11.684Z,2017-12-23T23:43:24.611Z,http://makeup-api.herokuapp.com/api/v1/products/775.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/775/original/open-uri20171223-4-1170sei?1514072604,"[{'hex_value': '#cf5e5e', 'colour_name': 'Clinique + Jonathan Adler: Cheek Pop in Peach Pop'}, {'hex_value': '#cd698d', 'colour_name': 'Clinique + Jonathan Adler: Cheek Pop in Plum Pop'}]"
17,774,clinique,Soft-Pressed Powder Blusher,23.0,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_618J_181x209.png,https://www.clinique.com/product/1593/5164/makeup/blushers/soft-pressed-powder-blusher,https://www.clinique.com,"Warm, natural-looking powder blush for all skins. Sheer, buildable colour gives cheeks a radiant glow. Silky, fresh finish, too. Wide range of shades, from subtle to vibrant. Comes with brush applicator.",,,blush,[],2017-12-23T17:09:11.200Z,2017-12-23T23:43:24.192Z,http://makeup-api.herokuapp.com/api/v1/products/774.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/774/original/open-uri20171223-4-1oqk5jn?1514072604,"[{'hex_value': '#cc897d', 'colour_name': 'Honey Blush'}, {'hex_value': '#ca8c8c', 'colour_name': 'Pink Blush'}, {'hex_value': '#b97b81', 'colour_name': 'New Clover'}, {'hex_value': '#bb8376', 'colour_name': 'Chestnut Blush'}, {'hex_value': '#b6847a', 'colour_name': 'Mocha Pink'}, {'hex_value': '#ac7f79', 'colour_name': 'Plum Gorgeous'}, {'hex_value': '#b1706a', 'colour_name': 'Fig'}, {'hex_value': '#b08176', 'colour_name': 'Totally Tawny'}]"
18,773,clinique,Chubby Stick&trade; Cheek Colour Balm,23.0,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_Z47M_181x209.png,https://www.clinique.com/product/1593/30944/makeup/blushers/chubby-stick-cheek-colour-balm,https://www.clinique.com,"Creamy, mistake-proof cheek colour creates a healthy-looking glow in an instant. Oil-free.",,,blush,[],2017-12-23T17:09:10.711Z,2017-12-23T23:43:23.728Z,http://makeup-api.herokuapp.com/api/v1/products/773.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/773/original/data?1514072603,"[{'hex_value': '#f87467', 'colour_name': 'Robust Rhubarb'}, {'hex_value': '#cf5d5d', 'colour_name': ""Amp'd Up Apple""}, {'hex_value': '#d55f5f', 'colour_name': 'Roly Poly Rosy'}, {'hex_value': '#b46368', 'colour_name': 'Plumped Up Peony'}]"
19,772,clinique,Clinique Pop&trade; Oil Lip & Cheek Glow,,,,https://www.clinique.com/media/export/cms/products/181x209/clq_ZKJM01_181x209.png,https://www.clinique.com/product/1593/40007/makeup/blushers/clinique-pop-oil-lip-cheek-glow,https://www.clinique.com,,,,blush,[],2017-12-23T16:36:59.931Z,2017-12-23T23:43:27.021Z,http://makeup-api.herokuapp.com/api/v1/products/772.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/772/original/data?1514072606,"[{'hex_value': '#BC2F28', 'colour_name': None}]"
